team,event,game,time
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 00:55:04
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 00:56:03
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 00:56:52
✅✅✅haha answer checker go brrr❄️❄️❄️,win_start,Ducky Crossing: Fishing Adventure!,2020-10-24 00:58:58
✅✅✅haha answer checker go brrr❄️❄️❄️,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-24 01:01:09
Teammate's Sixth Birthday Implementation,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 01:31:05
✅✅✅haha answer checker go brrr❄️❄️❄️,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-24 01:31:25
Teammate's Sixth Birthday Implementation,win_start,Ducky Crossing: Fishing Adventure!,2020-10-24 01:32:32
Teammate's Sixth Birthday Implementation,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-24 01:34:26
Teammate's Sixth Birthday Implementation,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 01:35:00
Teammate's Sixth Birthday Implementation,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 01:38:54
Juicy karaage number 1! Wow! ~♪♪,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:08:52
Juicy karaage number 1! Wow! ~♪♪,win_start,Ducky Crossing: Fishing Adventure!,2020-10-24 02:09:46
Eggplant Parms,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:10:41
Eggplant Parms,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:11:03
⌊π⌋,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:11:07
Eggplant Parms,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:11:31
Juicy karaage number 1! Wow! ~♪♪,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-24 02:12:15
Juicy karaage number 1! Wow! ~♪♪,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-24 02:13:01
⌊π⌋,win_start,Ducky Crossing: Fishing Adventure!,2020-10-24 02:13:31
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Codemanes,2020-10-24 02:14:53
⌊π⌋,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-24 02:15:57
⌊π⌋,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:16:10
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Codemanes,2020-10-24 02:17:32
Eggplant Parms,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:17:58
⬆⬆⬆ Theoretical and Applied Updog 🐶🐶🐶,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:18:10
Eggplant Parms,win_start,Ducky Crossing: Fishing Adventure!,2020-10-24 02:18:33
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Codemanes,2020-10-24 02:18:59
3 ho-ouse blend,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:19:41
Eggplant Parms,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-24 02:20:34
Eggplant Parms,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:20:41
3 ho-ouse blend,win_start,Ducky Crossing: Fishing Adventure!,2020-10-24 02:21:12
⬆⬆⬆ Theoretical and Applied Updog 🐶🐶🐶,win_start,Ducky Crossing: Fishing Adventure!,2020-10-24 02:21:22
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Codemanes,2020-10-24 02:21:39
3 ho-ouse blend,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-24 02:22:53
3 ho-ouse blend,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:23:11
⬆⬆⬆ Theoretical and Applied Updog 🐶🐶🐶,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-24 02:23:16
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Codemanes,2020-10-24 02:23:46
⬆⬆⬆ Theoretical and Applied Updog 🐶🐶🐶,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-24 02:23:56
Eggplant Parms,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-24 02:23:59
✅✅✅haha answer checker go brrr❄️❄️❄️,abandoned,Codemanes,2020-10-24 02:25:54
✅✅✅haha answer checker go brrr❄️❄️❄️,abandoned,Codemanes,2020-10-24 02:26:02
✅✅✅haha answer checker go brrr❄️❄️❄️,abandoned,Codemanes,2020-10-24 02:26:12
⌊π⌋,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-24 02:28:04
✅✅✅haha answer checker go brrr❄️❄️❄️,abandoned,Codemanes,2020-10-24 02:28:12
✅✅✅haha answer checker go brrr❄️❄️❄️,loss,Codemanes,2020-10-24 02:28:14
✅✅✅haha answer checker go brrr❄️❄️❄️,abandoned,Codemanes,2020-10-24 02:30:28
3 ho-ouse blend,loss,Ducky Crossing: Fishing Adventure!,2020-10-24 02:30:40
3 ho-ouse blend,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-24 02:31:23
✅✅✅haha answer checker go brrr❄️❄️❄️,win_start,Codemanes,2020-10-24 02:42:08
